ID	blink_time
1	2.048
1	2.741
1	3.647
1	6.549
1	8.064
1	10.581
1	13.941
1	22.848
1	29.621
1	32.01
1	34.73
1	35.306
1	39.37
1	43.424
1	49.482
1	50.41
1	53.407
1	55.349
1	60.469
1	61.343
1	61.941
1	66.57
1	69.664
1	70.826
1	73.61
1	81.45
1	82.048
1	88.885
1	90.346
1	97.247
1	125.546
1	126.122
1	145.248
1	160.586
1	164.608
1	176.65
1	177.461
1	180.287
1	181.941
1	182.965
1	184.341
1	190.645
1	191.744
1	194.005
1	195.05
1	196.565
1	197.567
1	200.864
1	201.888
1	203.765
1	204.97
1	206.144
1	209.226
1	217.461
1	223.786
1	224.501
1	226.208
1	228.149
1	230.847
1	232.544
1	233.248
1	239.221
1	240.106
1	241.429
1	242.261
1	257.248
1	257.824
1	262.346
1	264.586
1	270.09
1	270.645
1	271.584
1	274.346
1	274.848
1	278.122
1	278.688
1	281.386
1	281.962
1	283.168
1	285.162
1	285.706
1	286.826
1	287.509
1	287.882
1	289.322
1	290.229
1	292.288
1	292.725
1	294.048
1	294.464
1	295.285
1	296.469
1	297.184
1	299.488
1	300.469
1	301.984
1	303.402
1	307.647
1	309.226
1	312.469
1	314.848
1	315.765
1	317.066
1	318.048
1	320.81
1	332.746
1	334.229
1	334.805
1	335.328
1	339.029
1	340.149
1	341.088
1	343.082
1	344.405
1	345.802
1	346.784
1	348.906
1	350.09
1	351.605
1	354.848
1	360.021
1	362.165
1	364.181
1	365.568
1	368.063
1	371.061
1	374.549
1	377.482
1	380.469
1	389.61
1	391.605
1	393.322
1	396.704
1	398.709
1	399.882
1	400.586
1	402.069
1	402.741
1	403.509
1	404.309
1	406.762
1	413.781
1	414.901
1	416.266
1	417.504
1	418.688
1	419.125
1	419.925
1	420.522
1	421.162
1	422.026
1	422.826
1	424.181
1	430.026
1	431.69
1	433.386
1	435.402
1	436.49
1	437.344
1	438.89
1	444.501
1	447.008
1	456.65
1	467.328
1	471.744
1	473.824
1	476.448
1	477.109
1	478.048
1	481.525
1	483.05
1	485.269
1	486.41
1	488.01
1	488.949
1	489.909
1	494.048
1	495.008
1	496.063
1	510.741
1	513.525
1	514.89
1	515.904
1	524.384
1	525.344
1	526.208
1	526.944
1	527.968
1	534.09
1	536.629
1	537.61
1	538.624
1	539.328
1	540.245
1	540.501
1	541.824
1	542.549
1	543.264
1	543.722
1	544.426
1	545.365
1	546.581
1	547.381
1	547.968
1	549.749
1	552.384
1	557.024
1	558.282
1	559.349
1	560.725
1	561.824
1	562.325
1	563.082
1	563.605
1	564.906
1	567.146
1	567.85
1	568.704
1	570.208
1	570.688
1	572.042
1	573.546
1	575.402
1	579.37
1	581.664
1	582.549
1	584.127
1	585.13
1	587.381
1	588.149
1	589.066
1	590.122
1	591.925
1	593.109
1	595.669
1	598.549
1	599.925
1	603.082
1	606.581
1	606.944
1	607.69
1	609.141
1	610.101
1	612.309
1	617.002
1	619.541
1	622.304
1	623.242
1	624.202
1	627.029
1	627.808
1	629.621
1	631.306
1	632.864
1	633.802
1	634.282
1	634.922
2	1.493
2	1.92
2	6.357
2	12.96
2	22.218
2	25.535
2	27.21
2	27.914
2	28.48
2	33.834
2	37.279
2	39.914
2	41.994
2	44.17
2	53.514
2	54.058
2	54.314
2	62.239
2	62.538
2	68.373
2	76.576
2	81.952
2	85.29
2	88.298
2	92.298
2	93.258
2	98.058
2	101.514
2	101.77
2	102.976
2	105.45
2	106.56
2	113.333
2	115.776
2	118.773
2	119.232
2	135.957
2	137.258
2	149.92
2	150.976
2	154.517
2	156.138
2	157.834
2	163.85
2	165.013
2	168.693
2	172.597
2	173.632
2	174.997
2	175.872
2	186.378
2	189.92
2	191.04
2	191.53
2	193.215
2	193.717
2	194.112
2	199.018
2	202.272
