Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968750,43.968750,43.750000,43.937500,25.627188,1003200
1993-02-01,43.968750,44.250000,43.968750,44.250000,25.809441,480500
1993-02-02,44.218750,44.375000,44.125000,44.343750,25.864132,201300
1993-02-03,44.406250,44.843750,44.375000,44.812500,26.137529,529400
1993-02-04,44.968750,45.093750,44.468750,45.000000,26.246887,531500
1993-02-05,44.968750,45.062500,44.718750,44.968750,26.228680,492100
1993-02-08,44.968750,45.125000,44.906250,44.968750,26.228680,596100
1993-02-09,44.812500,44.812500,44.562500,44.656250,26.046406,122100
1993-02-10,44.656250,44.750000,44.531250,44.718750,26.082850,379600
1993-02-11,44.781250,45.125000,44.781250,44.937500,26.210445,19500
1993-02-12,44.875000,44.875000,44.593750,44.593750,26.009947,42500
1993-02-16,44.468750,44.468750,43.406250,43.468750,25.353779,374800
1993-02-17,43.468750,43.531250,43.281250,43.437500,25.335546,210900
1993-02-18,43.937500,43.937500,42.812500,43.406250,25.317327,378100
1993-02-19,43.406250,43.562500,43.343750,43.562500,25.408453,34900
1993-02-22,43.687500,43.781250,43.562500,43.718750,25.499594,513600
1993-02-23,43.843750,43.875000,43.468750,43.687500,25.481373,373700
1993-02-24,43.718750,44.250000,43.718750,44.250000,25.809441,26300
1993-02-25,44.218750,44.375000,44.125000,44.343750,25.864132,44500
1993-02-26,44.437500,44.437500,44.187500,44.406250,25.900581,66200
1993-03-01,44.562500,44.562500,44.218750,44.281250,25.827682,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,26.210445,182400
1993-03-03,45.000000,45.156250,44.937500,45.125000,26.319798,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,26.173986,89500
1993-03-05,44.937500,45.125000,44.718750,44.750000,26.101082,40000
1993-03-08,44.843750,45.750000,44.843750,45.750000,26.684361,50800
1993-03-09,45.656250,45.687500,45.500000,45.593750,26.593214,169300
1993-03-10,45.593750,45.687500,45.406250,45.687500,26.647894,194400
1993-03-11,45.718750,45.843750,45.500000,45.562500,26.574987,70900
1993-03-12,45.187500,45.218750,44.812500,45.093750,26.301567,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,26.429169,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,26.429169,30800
1993-03-17,45.250000,45.250000,44.968750,45.031250,26.265118,21800
1993-03-18,45.218750,45.500000,45.218750,45.312500,26.429169,59300
1993-03-19,45.281250,45.281250,45.031250,45.031250,26.389166,66900
1993-03-22,44.593750,44.875000,44.562500,44.781250,26.242653,183400
1993-03-23,44.906250,44.937500,44.812500,44.875000,26.297602,55200
1993-03-24,44.812500,45.062500,44.593750,44.875000,26.297602,37200
1993-03-25,44.906250,45.250000,44.843750,45.156250,26.462437,110100
1993-03-26,45.125000,45.156250,44.875000,44.906250,26.315922,101500
1993-03-29,44.937500,45.312500,44.937500,45.093750,26.425787,87100
1993-03-30,45.156250,45.218750,45.093750,45.218750,26.499062,56000
1993-03-31,45.343750,45.468750,45.187500,45.187500,26.480740,111600
1993-04-01,45.250000,45.250000,44.937500,45.031250,26.389166,129500
1993-04-02,44.656250,44.656250,44.093750,44.093750,25.839777,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,25.967962,172200
1993-04-06,44.406250,44.406250,44.062500,44.187500,25.894722,129700
1993-04-07,44.250000,44.343750,44.156250,44.343750,25.986288,28000
1993-04-08,44.531250,44.531250,44.093750,44.281250,25.949665,180800
1993-04-12,44.718750,44.937500,44.656250,44.906250,26.315922,348500
1993-04-13,44.875000,45.156250,44.843750,45.000000,26.370846,146100
1993-04-14,45.031250,45.062500,44.906250,44.937500,26.334230,119600
1993-04-15,44.906250,45.031250,44.750000,44.937500,26.334230,148600
1993-04-16,44.968750,45.031250,44.875000,44.937500,26.334230,47900
1993-04-19,44.937500,45.062500,44.718750,44.750000,26.224354,157000
1993-04-20,44.687500,44.750000,44.250000,44.531250,26.096167,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,26.077848,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,25.748219,97700
1993-04-23,43.843750,43.968750,43.687500,43.750000,25.638350,106000
1993-04-26,43.781250,43.937500,43.281250,43.406250,25.436901,62600
1993-04-27,43.343750,43.875000,43.343750,43.875000,25.711594,156800
1993-04-28,43.812500,43.906250,43.718750,43.781250,25.656654,85900
1993-04-29,43.875000,43.968750,43.625000,43.968750,25.766525,85000
1993-04-30,44.125000,44.281250,44.031250,44.031250,25.803146,88500
1993-05-03,44.093750,44.312500,43.906250,44.312500,25.967962,80500
1993-05-04,44.406250,44.625000,44.343750,44.468750,26.059523,149100
